Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Labels
1,5.1,3.5,1.4,0.2,unlabel
2,4.9,3.0,1.4,0.2,unlabel
3,4.7,3.2,1.3,0.2,unlabel
4,4.6,3.1,1.5,0.2,unlabel
5,5.0,3.6,1.4,0.2,unlabel
6,5.4,3.9,1.7,0.4,unlabel
7,4.6,3.4,1.4,0.3,unlabel
8,5.0,3.4,1.5,0.2,unlabel
9,4.4,2.9,1.4,0.2,unlabel
10,4.9,3.1,1.5,0.1,unlabel
11,5.4,3.7,1.5,0.2,unlabel
12,4.8,3.4,1.6,0.2,unlabel
13,4.8,3.0,1.4,0.1,unlabel
14,4.3,3.0,1.1,0.1,unlabel
15,5.8,4.0,1.2,0.2,unlabel
16,5.7,4.4,1.5,0.4,unlabel
17,5.4,3.9,1.3,0.4,unlabel
18,5.1,3.5,1.4,0.3,unlabel
19,5.7,3.8,1.7,0.3,unlabel
20,5.1,3.8,1.5,0.3,unlabel
21,5.4,3.4,1.7,0.2,unlabel
22,5.1,3.7,1.5,0.4,unlabel
23,4.6,3.6,1.0,0.2,unlabel
24,5.1,3.3,1.7,0.5,unlabel
25,4.8,3.4,1.9,0.2,unlabel
26,5.0,3.0,1.6,0.2,unlabel
27,5.0,3.4,1.6,0.4,unlabel
28,5.2,3.5,1.5,0.2,unlabel
29,5.2,3.4,1.4,0.2,unlabel
30,4.7,3.2,1.6,0.2,unlabel
31,4.8,3.1,1.6,0.2,unlabel
32,5.4,3.4,1.5,0.4,unlabel
33,5.2,4.1,1.5,0.1,unlabel
34,5.5,4.2,1.4,0.2,unlabel
35,4.9,3.1,1.5,0.1,unlabel
36,5.0,3.2,1.2,0.2,unlabel
37,5.5,3.5,1.3,0.2,unlabel
38,4.9,3.1,1.5,0.1,unlabel
39,4.4,3.0,1.3,0.2,unlabel
40,5.1,3.4,1.5,0.2,unlabel
41,5.0,3.5,1.3,0.3,unlabel
42,4.5,2.3,1.3,0.3,unlabel
43,4.4,3.2,1.3,0.2,unlabel
44,5.0,3.5,1.6,0.6,unlabel
45,5.1,3.8,1.9,0.4,unlabel
46,7.0,3.2,4.7,1.4,unlabel
47,6.4,3.2,4.5,1.5,unlabel
48,6.9,3.1,4.9,1.5,unlabel
49,5.5,2.3,4.0,1.3,unlabel
50,6.5,2.8,4.6,1.5,unlabel
51,5.7,2.8,4.5,1.3,unlabel
52,6.3,3.3,4.7,1.6,unlabel
53,4.9,2.4,3.3,1.0,unlabel
54,6.6,2.9,4.6,1.3,unlabel
55,5.2,2.7,3.9,1.4,unlabel
56,5.0,2.0,3.5,1.0,unlabel
57,5.9,3.0,4.2,1.5,unlabel
58,6.0,2.2,4.0,1.0,unlabel
59,6.1,2.9,4.7,1.4,unlabel
60,5.6,2.9,3.6,1.3,unlabel
61,6.7,3.1,4.4,1.4,unlabel
62,5.6,3.0,4.5,1.5,unlabel
63,5.8,2.7,4.1,1.0,unlabel
64,6.2,2.2,4.5,1.5,unlabel
65,5.6,2.5,3.9,1.1,unlabel
66,5.9,3.2,4.8,1.8,unlabel
67,6.1,2.8,4.0,1.3,unlabel
68,6.3,2.5,4.9,1.5,unlabel
69,6.1,2.8,4.7,1.2,unlabel
70,6.4,2.9,4.3,1.3,unlabel
71,6.6,3.0,4.4,1.4,unlabel
72,6.8,2.8,4.8,1.4,unlabel
73,6.7,3.0,5.0,1.7,unlabel
74,6.0,2.9,4.5,1.5,unlabel
75,5.7,2.6,3.5,1.0,unlabel
76,5.5,2.4,3.8,1.1,unlabel
77,5.5,2.4,3.7,1.0,unlabel
78,5.8,2.7,3.9,1.2,unlabel
79,6.0,2.7,5.1,1.6,unlabel
80,5.4,3.0,4.5,1.5,unlabel
81,6.0,3.4,4.5,1.6,unlabel
82,6.7,3.1,4.7,1.5,unlabel
83,6.3,2.3,4.4,1.3,unlabel
84,5.6,3.0,4.1,1.3,unlabel
85,5.5,2.5,4.0,1.3,unlabel
86,5.5,2.6,4.4,1.2,unlabel
87,6.1,3.0,4.6,1.4,unlabel
88,5.8,2.6,4.0,1.2,unlabel
89,5.0,2.3,3.3,1.0,unlabel
90,5.6,2.7,4.2,1.3,unlabel
91,6.3,3.3,6.0,2.5,unlabel
92,5.8,2.7,5.1,1.9,unlabel
93,7.1,3.0,5.9,2.1,unlabel
94,6.3,2.9,5.6,1.8,unlabel
95,6.5,3.0,5.8,2.2,unlabel
96,7.6,3.0,6.6,2.1,unlabel
97,4.9,2.5,4.5,1.7,unlabel
98,7.3,2.9,6.3,1.8,unlabel
99,6.7,2.5,5.8,1.8,unlabel
100,7.2,3.6,6.1,2.5,unlabel
101,6.5,3.2,5.1,2.0,unlabel
102,6.4,2.7,5.3,1.9,unlabel
103,6.8,3.0,5.5,2.1,unlabel
104,5.7,2.5,5.0,2.0,unlabel
105,5.8,2.8,5.1,2.4,unlabel
106,6.4,3.2,5.3,2.3,unlabel
107,6.5,3.0,5.5,1.8,unlabel
108,7.7,3.8,6.7,2.2,unlabel
109,7.7,2.6,6.9,2.3,unlabel
110,6.0,2.2,5.0,1.5,unlabel
111,6.9,3.2,5.7,2.3,unlabel
112,5.6,2.8,4.9,2.0,unlabel
113,7.7,2.8,6.7,2.0,unlabel
114,6.3,2.7,4.9,1.8,unlabel
115,6.7,3.3,5.7,2.1,unlabel
116,7.2,3.2,6.0,1.8,unlabel
117,6.2,2.8,4.8,1.8,unlabel
118,6.1,3.0,4.9,1.8,unlabel
119,6.4,2.8,5.6,2.1,unlabel
120,7.2,3.0,5.8,1.6,unlabel
121,7.4,2.8,6.1,1.9,unlabel
122,7.9,3.8,6.4,2.0,unlabel
123,6.4,2.8,5.6,2.2,unlabel
124,6.3,2.8,5.1,1.5,unlabel
125,6.1,2.6,5.6,1.4,unlabel
126,7.7,3.0,6.1,2.3,unlabel
127,6.3,3.4,5.6,2.4,unlabel
128,6.4,3.1,5.5,1.8,unlabel
129,6.0,3.0,4.8,1.8,unlabel
130,6.9,3.1,5.4,2.1,unlabel
131,6.7,3.1,5.6,2.4,unlabel
132,6.9,3.1,5.1,2.3,unlabel
133,5.8,2.7,5.1,1.9,unlabel
134,6.8,3.2,5.9,2.3,unlabel
135,6.7,3.3,5.7,2.5,unlabel
136,4.8,3.0,1.4,0.3,unlabel
137,5.1,3.8,1.6,0.2,unlabel
138,5.1,2.5,3.0,1.1,unlabel
139,5.7,2.8,4.1,1.3,unlabel
140,6.7,3.0,5.2,2.3,unlabel
141,5.9,3.0,5.1,1.8,unlabel
142,4.6,3.2,1.4,0.2,unlabel
143,5.3,3.7,1.5,0.2,unlabel
144,5.0,3.3,1.4,0.2,unlabel
145,5.7,3.0,4.2,1.2,unlabel
146,5.7,2.9,4.2,1.3,unlabel
147,6.2,2.9,4.3,1.3,unlabel
148,6.3,2.5,5.0,1.9,unlabel
149,6.5,3.0,5.2,2.0,unlabel
150,6.2,3.4,5.4,2.3,unlabel
151,6.3,3.7,5.0,2.1,unlabel
